# Use the Source file to translate labels for the first time.
# - Change the language code in the header from the organization's default language to the translation language. See "Supported Languages for Translatable Customizations" in the Salesforce.com online help for a list of supported languages and their associated language codes.
# - Replace the untranslated values in the LABEL column with translated values.

# Notes:
# Don't add columns to or remove columns from this file.
# Tabs (\t), new lines (\n) and carriage returns (\r) are represented by special characters in this file. These characters should be preserved in the import file to maintain formatting.
# Lines that begin with the # symbol are ignored during import.
# Salesforce translation files are exported in the UTF-8 encoding to support extended and double-byte characters. This encoding cannot be changed.

# Language: English
Language code: en_US
Type: Source

# KEY	LABEL

CustomField.Survey_Target_vod__c.Account_Display_Name_vod.FieldLabel	Account Display Name
CustomField.Survey_Target_vod__c.Account_Types_vod.FieldLabel	Account Types
CustomField.Survey_Target_vod__c.Account_vod.FieldLabel	Customer
CustomField.Survey_Target_vod__c.Account_vod.RelatedListLabel	Profiling & Surveys
CustomField.Survey_Target_vod__c.BMS_Country_Code_BMS_SHARED.FieldLabel	BMS Country Code
CustomField.Survey_Target_vod__c.BMS_Created_Date_BMS_EMEA.FieldLabel	BMS Created Date
CustomField.Survey_Target_vod__c.Channels_vod.FieldLabel	Channels
CustomField.Survey_Target_vod__c.Coach_vod.FieldLabel	Manager
CustomField.Survey_Target_vod__c.Coach_vod.RelatedListLabel	Profiling and Surveys (Manager)
CustomField.Survey_Target_vod__c.Completed_Datetime_vod.FieldLabel	Completed Date/Time
CustomField.Survey_Target_vod__c.Country_Check_BMS_EMEA.FieldLabel	Country Check
CustomField.Survey_Target_vod__c.Detail_Group_vod.FieldLabel	Detail Group
CustomField.Survey_Target_vod__c.Detail_Group_vod.RelatedListLabel	Survey Targets (Detail Group)
CustomField.Survey_Target_vod__c.Employee_vod.FieldLabel	Employee
CustomField.Survey_Target_vod__c.Employee_vod.RelatedListLabel	Profiling and Surveys (Employee)
CustomField.Survey_Target_vod__c.End_Date_vod.FieldLabel	End Date
CustomField.Survey_Target_vod__c.Entity_Reference_Id_vod.FieldLabel	Entity Reference Id
CustomField.Survey_Target_vod__c.External_ID_vod.FieldLabel	External ID
CustomField.Survey_Target_vod__c.Language_vod.FieldLabel	Language
CustomField.Survey_Target_vod__c.Lock_vod.FieldLabel	Lock
CustomField.Survey_Target_vod__c.Mobile_ID_vod.FieldLabel	Mobile ID
CustomField.Survey_Target_vod__c.No_Autoassign_vod.FieldLabel	Don't change owner on publish
CustomField.Survey_Target_vod__c.Not_Completed_vod.FieldLabel	Not Completed
CustomField.Survey_Target_vod__c.Product_vod.FieldLabel	Product
CustomField.Survey_Target_vod__c.Product_vod.RelatedListLabel	Survey Targets
CustomField.Survey_Target_vod__c.Profile_Name_vod.FieldLabel	Profile Name
CustomField.Survey_Target_vod__c.Recalled_Datetime_vod.FieldLabel	Recalled Date/Time
CustomField.Survey_Target_vod__c.Region_vod.FieldLabel	Region
CustomField.Survey_Target_vod__c.Report_Status_vod.FieldLabel	Report Status
CustomField.Survey_Target_vod__c.Review_Date_vod.FieldLabel	Review Date
CustomField.Survey_Target_vod__c.Score_vod.FieldLabel	Score
CustomField.Survey_Target_vod__c.Segment_vod.FieldLabel	Category
CustomField.Survey_Target_vod__c.Sent_Email_vod.FieldLabel	Sent Email
CustomField.Survey_Target_vod__c.Sent_Email_vod.RelatedListLabel	Survey Targets
CustomField.Survey_Target_vod__c.Sent_To_Employee_Datetime_vod.FieldLabel	Sent to Rep Date/Time
CustomField.Survey_Target_vod__c.Share_Team_vod.FieldLabel	Share Team
CustomField.Survey_Target_vod__c.Start_Date_vod.FieldLabel	Start Date
CustomField.Survey_Target_vod__c.Status_vod.FieldLabel	Status
CustomField.Survey_Target_vod__c.Survey_vod.FieldLabel	Survey Name
CustomField.Survey_Target_vod__c.Survey_vod.RelatedListLabel	Profiling and Surveys
CustomField.Survey_Target_vod__c.Territories_vod.FieldLabel	Included user territories:
CustomField.Survey_Target_vod__c.Territory_Intelligent_ID_BMS_SHARED.FieldLabel	Territory Intelligent ID
CustomField.Survey_Target_vod__c.Territory_vod.FieldLabel	Territory
CustomField.Survey_Target_vod__c.User_vod.FieldLabel	User
CustomField.Survey_Target_vod__c.User_vod.RelatedListLabel	Profiling and Surveys (User)
CustomField.Survey_Target_vod__c.zvod_Address_vod.FieldLabel	Address
CustomField.Survey_Target_vod__c.zvod_Coaching_Questions_vod.FieldLabel	zvod_Coaching_Questions_vod
CustomField.Survey_Target_vod__c.zvod_Specialty_vod.FieldLabel	Specialty
CustomField.Survey_vod__c.Account_Types_vod.FieldLabel	Account Types
CustomField.Survey_vod__c.Assignment_Type_vod.FieldLabel	Assignment Type
CustomField.Survey_vod__c.Autotarget_vod.FieldLabel	Automatically create target records
CustomField.Survey_vod__c.Channels_vod.FieldLabel	Channels
CustomField.Survey_vod__c.Detail_Group_vod.FieldLabel	Detail Group
CustomField.Survey_vod__c.Detail_Group_vod.RelatedListLabel	Surveys (Detail Group)
CustomField.Survey_vod__c.End_Date_vod.FieldLabel	End Date
CustomField.Survey_vod__c.Expired_vod.FieldLabel	Expired
CustomField.Survey_vod__c.External_ID_vod.FieldLabel	External ID
CustomField.Survey_vod__c.Language_vod.FieldLabel	Language
CustomField.Survey_vod__c.Lock_vod.FieldLabel	Locked
CustomField.Survey_vod__c.Max_Score_vod.FieldLabel	Maximum Possible Score
CustomField.Survey_vod__c.Min_Score_vod.FieldLabel	Minimum Possible Score
CustomField.Survey_vod__c.Open_vod.FieldLabel	Allow users to choose targets?
CustomField.Survey_vod__c.Product_vod.FieldLabel	Product
CustomField.Survey_vod__c.Product_vod.RelatedListLabel	Surveys
CustomField.Survey_vod__c.Profile_Name_vod.FieldLabel	Profile Name
CustomField.Survey_vod__c.Region_vod.FieldLabel	Region
CustomField.Survey_vod__c.Score_Display_vod.FieldLabel	Score Display
CustomField.Survey_vod__c.Segment_vod.FieldLabel	Segments
CustomField.Survey_vod__c.Share_Team_vod.FieldLabel	Share Team
CustomField.Survey_vod__c.Start_Date_vod.FieldLabel	Start Date
CustomField.Survey_vod__c.Status_vod.FieldLabel	Status
CustomField.Survey_vod__c.Territories_vod.FieldLabel	Included user territories:
CustomField.Survey_vod__c.Territory_vod.FieldLabel	Included user territories:.
CustomField.Survey_vod__c.iFrame_LandingPage_URL_vod.FieldLabel	iFrame Landing Page URL
CustomField.Survey_vod__c.zvod_Advanced_Share_Team_vod.FieldLabel	zvod_Advanced_Share_Team_vod
CustomField.Survey_vod__c.zvod_Questions_vod.FieldLabel	zvod_Questions_vod
CustomField.Survey_vod__c.zvod_Segments_vod.FieldLabel	zvod_Segments_vod
CustomField.Survey_vod__c.zvod_Targets_vod.FieldLabel	zvod_Targets_vod
CustomField.Meeting_Document_Template__c.Activity_Type_BMS_EMEA.FieldLabel	Activity Type
CustomField.Meeting_Document_Template__c.Country_Specific_BMS_EMEA.FieldLabel	Country Specific
CustomField.Meeting_Document_Template__c.External_ID_BMS_EMEA.FieldLabel	External ID
CustomField.Meeting_Document_Template__c.FFM_Step_BMS_EMEA.FieldLabel	FFM Step
CustomField.Meeting_Document_Template__c.Is_Required.FieldLabel	Is Required
CustomField.Meeting_Document_Template__c.Meeting_Type.FieldLabel	Meeting Type
CustomField.Meeting_Speaker_BMS__c.Account.FieldLabel	Customer
CustomField.Meeting_Speaker_BMS__c.Account.RelatedListLabel	Meeting Speakers
CustomField.Meeting_Speaker_BMS__c.Additional_Cost_BMS_EMEA.FieldLabel	Additional Cost
CustomField.Meeting_Speaker_BMS__c.Address_Line_1_BMS_IC.FieldLabel	Address Line 1
CustomField.Meeting_Speaker_BMS__c.Amount_to_subtract_BMS_EMEA.FieldLabel	Amount to subtract
CustomField.Meeting_Speaker_BMS__c.BMS_EMEA_Account_Source_Country.FieldLabel	Account Source Country
CustomField.Meeting_Speaker_BMS__c.Briefing_mins_BMS_EMEA.FieldLabel	Briefing (mins)
CustomField.Meeting_Speaker_BMS__c.Chairing_mins_BMS_EMEA.FieldLabel	Chairing (mins)
CustomField.Meeting_Speaker_BMS__c.City_BMS_IC.FieldLabel	City
CustomField.Meeting_Speaker_BMS__c.Comments_BMS_IC.FieldLabel	Comments
CustomField.Meeting_Speaker_BMS__c.Compensated_Travel_Time_hrs_BMS_EMEA.FieldLabel	Compensated Travel Time (hrs)
CustomField.Meeting_Speaker_BMS__c.DHG_Comment_BMS_EMEA.FieldLabel	DHG Comment
CustomField.Meeting_Speaker_BMS__c.DHG_Document_BMS_EMEA.FieldLabel	DHG Document
CustomField.Meeting_Speaker_BMS__c.DHG_is_required_BMS_EMEA.FieldLabel	DHG is required
CustomField.Meeting_Speaker_BMS__c.Delivered_BMS_EMEA.FieldLabel	Delivered
CustomField.Meeting_Speaker_BMS__c.Estimated_Duration_of_Service_hrs.FieldLabel	Estimated Duration of Service (hrs)
CustomField.Meeting_Speaker_BMS__c.Estimated_Preparation_Time_hrs_BMS_EMEA.FieldLabel	Estimated Preparation Time (hrs)
CustomField.Meeting_Speaker_BMS__c.External_ID_BMS_SHARED.FieldLabel	External ID
CustomField.Meeting_Speaker_BMS__c.Has_Rate_Card.FieldLabel	Has Rate Card
CustomField.Meeting_Speaker_BMS__c.Hourly_Rate_BMS_EMEA.FieldLabel	Hourly Rate
CustomField.Meeting_Speaker_BMS__c.Hourly_Rate_BMS_EMEA.HelpText	In alignment with Fair Market (see Appendix A)
CustomField.Meeting_Speaker_BMS__c.Hourly_honorarium_rate_BMS_EMEA.FieldLabel	Hourly honorarium rate
CustomField.Meeting_Speaker_BMS__c.Hourly_honorarium_rate_BMS_EMEA.HelpText	In alignment with Fair Market (see Appendix A)
CustomField.Meeting_Speaker_BMS__c.Hourly_travel_time_rate_BMS_EMEA.FieldLabel	Hourly travel time rate
CustomField.Meeting_Speaker_BMS__c.Invoice_to_Account_BMS_EMEA.FieldLabel	Invoice to Account
CustomField.Meeting_Speaker_BMS__c.Lock_Rate_Card.FieldLabel	Lock Rate Card
CustomField.Meeting_Speaker_BMS__c.Meeting.FieldLabel	Meeting
CustomField.Meeting_Speaker_BMS__c.Meeting.RelatedListLabel	Meeting Speakers
CustomField.Meeting_Speaker_BMS__c.Meeting_Start_Date_BMS_EMEA.FieldLabel	Meeting Start Date
CustomField.Meeting_Speaker_BMS__c.Mobile_ID_vod.FieldLabel	Mobile ID
CustomField.Meeting_Speaker_BMS__c.Number_of_hours_BMS_EMEA.FieldLabel	Number of hours
CustomField.Meeting_Speaker_BMS__c.Other_Fees_BMS_EMEA.FieldLabel	Other Fees
CustomField.Meeting_Speaker_BMS__c.Other_Fees_BMS_EMEA.HelpText	Honoraria paid for travel time, honoraria paid for preparation Time,  as per Appendix A – add detail breakdown in the comments
CustomField.Meeting_Speaker_BMS__c.Other_mins_BMS_EMEA.FieldLabel	Other (mins)
CustomField.Meeting_Speaker_BMS__c.PO_code_BMS_EMEA.FieldLabel	PO code
CustomField.Meeting_Speaker_BMS__c.Payable_To_BMS_IC.FieldLabel	Payable To
CustomField.Meeting_Speaker_BMS__c.Planned_Expenses_BMS_IC.FieldLabel	Planned Expenses
CustomField.Meeting_Speaker_BMS__c.Post_Meeting_Debrief_mins_BMS_EMEA.FieldLabel	Post Meeting Debrief (mins)
CustomField.Meeting_Speaker_BMS__c.Postal_Code_BMS_IC.FieldLabel	Postal Code
CustomField.Meeting_Speaker_BMS__c.Presentation_mins_BMS_EMEA.FieldLabel	Presentation (mins)
CustomField.Meeting_Speaker_BMS__c.Province_BMS_IC.FieldLabel	Province
CustomField.Meeting_Speaker_BMS__c.Q_and_A_mins_BMS_EMEA.FieldLabel	Q and A (mins)
CustomField.Meeting_Speaker_BMS__c.Rate_Card.FieldLabel	Rate Card
CustomField.Meeting_Speaker_BMS__c.Rate_Card.RelatedListLabel	Meeting Speakers
CustomField.Meeting_Speaker_BMS__c.Rate_Card_Planned_Expenses.FieldLabel	Rate Card Planned Expenses
CustomField.Meeting_Speaker_BMS__c.Role_BMS_CA.FieldLabel	Role
CustomField.Meeting_Speaker_BMS__c.Send_Checque_To_BMS_IC.FieldLabel	Send Cheque To
CustomField.Meeting_Speaker_BMS__c.Speaker_Specialty.FieldLabel	Speaker Specialty
CustomField.Meeting_Speaker_BMS__c.Status_BMS_EMEA.FieldLabel	Status
CustomField.Meeting_Speaker_BMS__c.Total_BMS_EMEA.FieldLabel	Total
CustomField.Meeting_Speaker_BMS__c.Total_before_subtraction_BMS_EMEA.FieldLabel	Total before subtraction
CustomField.Meeting_Speaker_BMS__c.Total_hrs_BMS_EMEA.FieldLabel	Total (hrs)
CustomField.Meeting_Speaker_BMS__c.Total_hrs_BMS_EMEA.HelpText	Total (hrs) = Sum of «6 breakdown fields making up ‘Estimated Duration of service (hrs)’ », « Estimated Preparation Time (hrs) » & « Compensated Travel Time (hrs) »
CustomField.Meeting_Speaker_BMS__c.Type_of_Service_BMS_EMEA.FieldLabel	Type of Service
CustomField.Meeting_Speaker_BMS__c.Type_of_preparation_work_BMS_EMEA.FieldLabel	Type of preparation work
CustomField.Rate_Card_Template__c.Hourly_Rate.FieldLabel	Hourly Rate
CustomField.Rate_Card_Template__c.Hours.FieldLabel	Hours
CustomField.Rate_Card_Template__c.Is_Hourly.FieldLabel	Is Hourly
CustomField.Rate_Card_Template__c.Specialty.FieldLabel	Specialty
CustomField.Rate_Card_Template__c.Type.FieldLabel	Type
CustomField.Rate_Card__c.Amount.FieldLabel	Amount
CustomField.Rate_Card__c.Hourly_Rate.FieldLabel	Hourly Rate
CustomField.Rate_Card__c.Hours.FieldLabel	Hours
CustomField.Rate_Card__c.Is_Hourly.FieldLabel	Is Hourly
CustomField.Rate_Card__c.Medical_Event.FieldLabel	Medical Event
CustomField.Rate_Card__c.Medical_Event.RelatedListLabel	Rate Cards
CustomField.Rate_Card__c.Meeting_Speaker.FieldLabel	Meeting Speaker
CustomField.Rate_Card__c.Meeting_Speaker.RelatedListLabel	Rate Cards
CustomField.Rate_Card__c.Type.FieldLabel	Type
CustomField.Master_Parameter_BMS_CN__c.Country_Code_BMS_CN.FieldLabel	Country Code
CustomField.Master_Parameter_BMS_CN__c.Module_BMS_CN.FieldLabel	Module
CustomField.Master_Parameter_BMS_CN__c.Parameter_BMS_CN.FieldLabel	Parameter
CustomField.Master_Parameter_BMS_CN__c.Type1_BMS_CN.FieldLabel	Type1
CustomField.Master_Parameter_BMS_CN__c.Type2_BMS_CN.FieldLabel	Type2
CustomField.Master_Parameter_BMS_CN__c.Value_BMS_CN.FieldLabel	Value
CustomField.Abilify_Drop_Acknowledgement_BMS_US__c.Abilify_Drop_Acknowledgement_BMS_US.FieldLabel	Abilify Drop Acknowledgement
CustomField.Call_Search_Settings__c.Extra_Condtion.FieldLabel	Extra Condition
CustomField.Call_Search_Settings__c.Result_Field_Set.FieldLabel	Result Field Set
CustomField.Call_Search_Settings__c.Search_Field_Set.FieldLabel	Search Field Set
CustomField.Franchise_Objectives_BMS_US__c.Account_Plan_BMS_US.FieldLabel	Account Plan
CustomField.Franchise_Objectives_BMS_US__c.Account_Plan_BMS_US.RelatedListLabel	Franchise Objectives
CustomField.Franchise_Objectives_BMS_US__c.Franchise_BMS_US.FieldLabel	Franchise
CustomField.Franchise_Objectives_BMS_US__c.Mobile_ID_vod.FieldLabel	Mobile ID
CustomField.Franchise_Objectives_BMS_US__c.Product_BMS_US.FieldLabel	Product
CustomField.Individual_Account_Type_BMS_EMEA__c.BMS_Code_BMS_EMEA.FieldLabel	BMS Code
CustomField.Individual_Account_Type_BMS_EMEA__c.CCV_Code_BMS_EMEA.FieldLabel	CCV Code
CustomField.Individual_Account_Type_BMS_EMEA__c.Country_BMS_EMEA.FieldLabel	Country
CustomField.Individual_Account_Type_BMS_EMEA__c.Description_BMS_EMEA.FieldLabel	Description
CustomField.Individual_Account_Type_BMS_EMEA__c.External_ID_BMS_EMEA.FieldLabel	External ID
CustomField.Individual_Account_Type_BMS_EMEA__c.Language_BMS_EMEA.FieldLabel	Language
CustomField.Individual_Account_Type_BMS_EMEA__c.Short_Label_BMS_EMEA.FieldLabel	Short Label
CustomField.Organization_Account_Type_BMS_EMEA__c.BMS_Code_BMS_EMEA.FieldLabel	BMS Code
CustomField.Organization_Account_Type_BMS_EMEA__c.CCV_Code_BMS_EMEA.FieldLabel	CCV Code
CustomField.Organization_Account_Type_BMS_EMEA__c.Country_BMS_EMEA.FieldLabel	Country
CustomField.Organization_Account_Type_BMS_EMEA__c.Description_BMS_EMEA.FieldLabel	Description
CustomField.Organization_Account_Type_BMS_EMEA__c.External_ID_BMS_EMEA.FieldLabel	External ID
CustomField.Organization_Account_Type_BMS_EMEA__c.Language_BMS_EMEA.FieldLabel	Language
CustomField.Organization_Account_Type_BMS_EMEA__c.Short_Label_BMS_EMEA.FieldLabel	Short Label
CustomField.Specialty_BMS_EMEA__c.BMS_Code_BMS_EMEA.FieldLabel	BMS Code
CustomField.Specialty_BMS_EMEA__c.CCV_Code_BMS_EMEA.FieldLabel	CCV Code
CustomField.Specialty_BMS_EMEA__c.Country_BMS_EMEA.FieldLabel	Country
CustomField.Specialty_BMS_EMEA__c.Description_BMS_EMEA.FieldLabel	Description
CustomField.Specialty_BMS_EMEA__c.External_ID_BMS_EMEA.FieldLabel	External ID
CustomField.Specialty_BMS_EMEA__c.Language_BMS_EMEA.FieldLabel	Language
CustomField.Specialty_BMS_EMEA__c.Short_Label_BMS_EMEA.FieldLabel	Short Label
CustomField.Specialty_BMS_EMEA__c.Specialty_Type_BMS_EMEA.FieldLabel	Specialty Type
CustomField.Title_BMS_EMEA__c.BMS_Code_BMS_EMEA.FieldLabel	BMS Code
CustomField.Title_BMS_EMEA__c.CCV_Code_BMS_EMEA.FieldLabel	CCV Code
CustomField.Title_BMS_EMEA__c.Country_BMS_EMEA.FieldLabel	Country
CustomField.Title_BMS_EMEA__c.Description_BMS_EMEA.FieldLabel	Description
CustomField.Title_BMS_EMEA__c.External_ID_BMS_EMEA.FieldLabel	External ID
CustomField.Title_BMS_EMEA__c.Language_BMS_EMEA.FieldLabel	Language
CustomField.Title_BMS_EMEA__c.Short_Label_BMS_EMEA.FieldLabel	Short Label
CustomField.Bookmark_vod__c.Display_Configuration_vod.FieldLabel	Display Configuration
CustomField.Bookmark_vod__c.Filter_Criteria_vod.FieldLabel	Field Criteria
CustomField.Bookmark_vod__c.Mobile_ID_vod.FieldLabel	Mobile ID
CustomField.Bookmark_vod__c.Sort_Definition_vod.FieldLabel	Sort Definition
CustomField.Contract_Line_vod__c.Comments_HCPTS.FieldLabel	Additional Details
CustomField.Contract_Line_vod__c.Comments_HCPTS.HelpText	Place to put comments; for eg size, location, duration for Exhibits & Display
CustomField.Contract_Line_vod__c.Contract_vod.FieldLabel	Contract
CustomField.Contract_Line_vod__c.Contract_vod.RelatedListLabel	Fee/Reimbursables
CustomField.Contract_Line_vod__c.Created_By_HCTPS.FieldLabel	Created By
CustomField.Contract_Line_vod__c.Device_Type_vod.FieldLabel	Device Type
CustomField.Contract_Line_vod__c.EM_Rate_Type_vod.FieldLabel	Rate Type
CustomField.Contract_Line_vod__c.EM_Rate_vod.FieldLabel	Rate or Amount
CustomField.Contract_Line_vod__c.EM_Rate_vod.HelpText	Rate is usually for hourly services. In all other cases, this is the total Amount for the Event and/or Maximum cap Sponsorship Amount for Actual Registration Fees, Reasonable Accommodation, Reasonable Travel Fees, Reasonable Meals, Other
CustomField.Contract_Line_vod__c.End_Date_vod.FieldLabel	End Date
CustomField.Contract_Line_vod__c.External_ID_vod.FieldLabel	External ID
CustomField.Contract_Line_vod__c.Fee_Reimburseable_Topic_HCPTS.FieldLabel	Fee/Reimbursable Topic
CustomField.Contract_Line_vod__c.Fee_Reimburseable_Topic_HCPTS.HelpText	Fee/Reimbursable Topic
CustomField.Contract_Line_vod__c.Fee_Reimburseable_Topic_HCPTS.RelatedListLabel	Fee/Reimbursables (Fee/Reimbursable Topic)
CustomField.Contract_Line_vod__c.Hours_HCPTS.FieldLabel	Hours
CustomField.Contract_Line_vod__c.Hours_HCPTS.HelpText	# of Hours contracted for this service. Only applicable if Rate type is Hourly. Not applicable for Sponsorships and Service Descriptions
CustomField.Contract_Line_vod__c.IM_Consumer_Price_vod.FieldLabel	IM Consumer Price
CustomField.Contract_Line_vod__c.IM_Facings_horizontal_vod.FieldLabel	IM Horizontal
CustomField.Contract_Line_vod__c.IM_Facings_simple_vod.FieldLabel	IM Facings
CustomField.Contract_Line_vod__c.IM_Facings_vertical_vod.FieldLabel	IM Vertical
CustomField.Contract_Line_vod__c.IM_Inventory_vod.FieldLabel	IM Inventory
CustomField.Contract_Line_vod__c.IM_Layer_vod.FieldLabel	IM Layer
CustomField.Contract_Line_vod__c.IM_Moved_Goods_vod.FieldLabel	IM Moved Goods
CustomField.Contract_Line_vod__c.IM_Position_vod.FieldLabel	IM Position
CustomField.Contract_Line_vod__c.Is_Fee_HCPTS.FieldLabel	Is Fee?
CustomField.Contract_Line_vod__c.Is_Fee_HCPTS.HelpText	Checked by a before trigger to true if Service_vod.Category_HCTPS = "Fee"
CustomField.Contract_Line_vod__c.Is_Service_Description.FieldLabel	This is a Service Description
CustomField.Contract_Line_vod__c.Is_Service_Description.HelpText	If this Contract Line is a Service Description, please check this box
CustomField.Contract_Line_vod__c.Is_Sponsorship_HCPTS.FieldLabel	Is this a Sponsorship Contract?
CustomField.Contract_Line_vod__c.Is_Sponsorship_HCPTS.HelpText	If Contract.Sponsorship Category is Not Applicable, this value results to false/unchecked. Else  this is true signifying that this Contract applies to a Sponsorship
CustomField.Contract_Line_vod__c.Last_Modified_By_HCPTS.FieldLabel	Last Modified By
CustomField.Contract_Line_vod__c.Lock_vod.FieldLabel	Lock
CustomField.Contract_Line_vod__c.Mandatory_Contract_Line_vod.FieldLabel	Mandatory Contract Line
CustomField.Contract_Line_vod__c.Minutes.FieldLabel	Minutes
CustomField.Contract_Line_vod__c.Mobile_Created_Datetime_vod.FieldLabel	Mobile Created Datetime
CustomField.Contract_Line_vod__c.Mobile_ID_vod.FieldLabel	Mobile ID
CustomField.Contract_Line_vod__c.Mobile_Last_Modified_Datetime_vod.FieldLabel	Mobile Last Modified Datetime
CustomField.Contract_Line_vod__c.Notes_vod.FieldLabel	Notes
CustomField.Contract_Line_vod__c.OM_List_Amount_Achieved_vod.FieldLabel	OM List Amount Achieved
CustomField.Contract_Line_vod__c.OM_List_Amount_Remaining_vod.FieldLabel	OM List Amount Remaining
CustomField.Contract_Line_vod__c.OM_List_Amount_Target_vod.FieldLabel	OM List Amount Target
CustomField.Contract_Line_vod__c.OM_Net_Amount_Achieved_vod.FieldLabel	OM Net Amount Achieved
CustomField.Contract_Line_vod__c.OM_Net_Amount_Remaining_vod.FieldLabel	OM Net Amount Remaining
CustomField.Contract_Line_vod__c.OM_Net_Amount_Target_vod.FieldLabel	OM Net Amount Target
CustomField.Contract_Line_vod__c.OM_Quantity_Achieved_vod.FieldLabel	OM Quantity Achieved
CustomField.Contract_Line_vod__c.OM_Quantity_Remaining_vod.FieldLabel	OM Quantity Remaining
CustomField.Contract_Line_vod__c.OM_Quantity_Target_vod.FieldLabel	OM Quantity Target
CustomField.Contract_Line_vod__c.Override_Lock_vod.FieldLabel	Override Lock
CustomField.Contract_Line_vod__c.Product_Identifier_vod.FieldLabel	Product Identifier
CustomField.Contract_Line_vod__c.Product_vod.FieldLabel	Product
CustomField.Contract_Line_vod__c.Product_vod.RelatedListLabel	Fee/Reimbursables
CustomField.Contract_Line_vod__c.Service_Category_HCPTS.FieldLabel	Service Category
CustomField.Contract_Line_vod__c.Service_Category_HCPTS.HelpText	Trigger stamps the Contract_Line.Category_HCPTS field to this field
CustomField.Contract_Line_vod__c.Service_Name_vod.FieldLabel	Fee/Reimbursable Topic Name
CustomField.Contract_Line_vod__c.Service_vod.FieldLabel	Service
CustomField.Contract_Line_vod__c.Service_vod.RelatedListLabel	Fee/Reimbursables (Service)
CustomField.Contract_Line_vod__c.Sponsorship_Amount_Reason_HCPTS.FieldLabel	Sponsorship Amount Reason
CustomField.Contract_Line_vod__c.Sponsorship_Amount_Reason_HCPTS.HelpText	Describes what the Rate/Amount field is for when it comes to Sponsorships. Sponsorship Category must be chosen for this to be available/applicable.
CustomField.Contract_Line_vod__c.Start_Date_vod.FieldLabel	Start Date
CustomField.Contract_Line_vod__c.Total_Value.FieldLabel	Total Value
CustomField.Contract_Partner_vod__c.Acceptance_ID_vod.FieldLabel	Acceptance #
CustomField.Contract_Partner_vod__c.Account_Identifier_vod.FieldLabel	Account Identifier
CustomField.Contract_Partner_vod__c.Account_vod.FieldLabel	Account
CustomField.Contract_Partner_vod__c.Account_vod.RelatedListLabel	Contract Recipients
CustomField.Contract_Partner_vod__c.Acknowledgment_vod.FieldLabel	I have read and understood
CustomField.Contract_Partner_vod__c.Agreement_vod.FieldLabel	Agreement
CustomField.Contract_Partner_vod__c.Call2_vod.FieldLabel	Call
CustomField.Contract_Partner_vod__c.Call2_vod.RelatedListLabel	Contract Recipients
CustomField.Contract_Partner_vod__c.Contract_vod.FieldLabel	Contract
CustomField.Contract_Partner_vod__c.Contract_vod.RelatedListLabel	Contract Recipients
CustomField.Contract_Partner_vod__c.Device_Type_vod.FieldLabel	Device Type
CustomField.Contract_Partner_vod__c.Disclaimer_vod.FieldLabel	Disclaimer
CustomField.Contract_Partner_vod__c.EM_Speaker_vod.FieldLabel	Service Provider
CustomField.Contract_Partner_vod__c.EM_Speaker_vod.RelatedListLabel	Contract Recipients
CustomField.Contract_Partner_vod__c.End_Date_vod.FieldLabel	End Date
CustomField.Contract_Partner_vod__c.Expired_vod.FieldLabel	Expired?
CustomField.Contract_Partner_vod__c.External_ID_vod.FieldLabel	External ID
CustomField.Contract_Partner_vod__c.Formatted_Name_vod.FieldLabel	Formatted Name
CustomField.Contract_Partner_vod__c.Lock_vod.FieldLabel	Lock
CustomField.Contract_Partner_vod__c.Mobile_Created_Datetime_vod.FieldLabel	Mobile Created Datetime
CustomField.Contract_Partner_vod__c.Mobile_ID_vod.FieldLabel	Mobile ID
CustomField.Contract_Partner_vod__c.Mobile_Last_Modified_Datetime_vod.FieldLabel	Mobile Last Modified Datetime
CustomField.Contract_Partner_vod__c.Override_Lock_vod.FieldLabel	Override Lock
CustomField.Contract_Partner_vod__c.Signature_Datetime_vod.FieldLabel	Signature Datetime
CustomField.Contract_Partner_vod__c.Signature_vod.FieldLabel	Signature
CustomField.Contract_Partner_vod__c.Signee_vod.FieldLabel	Signee
CustomField.Contract_Partner_vod__c.Start_Date_vod.FieldLabel	Start Date
CustomField.Contract_Partner_vod__c.Status_vod.FieldLabel	Status
CustomField.Contract_Partner_vod__c.User_Signature_vod.FieldLabel	User Signature
CustomField.Contract_Partner_vod__c.User_vod.FieldLabel	User
CustomField.Contract_Partner_vod__c.User_vod.RelatedListLabel	Contract Recipients
CustomField.Contract_vod__c.Account_Specific_Template_vod.FieldLabel	Account Specific Template
CustomField.Contract_vod__c.Activity_Agreement_ID_HCPTS.FieldLabel	Activity Agreement ID
CustomField.Contract_vod__c.Additional_Terms_HCPTS.FieldLabel	Additional Terms to Include
CustomField.Contract_vod__c.Additional_Terms_HCPTS.HelpText	Specify Additional terms to include in Contract text under Additonal Terms section
CustomField.Contract_vod__c.Agreement_vod.FieldLabel	Agreement
CustomField.Contract_vod__c.BMS_Entity_HCPTS.FieldLabel	BMS Entity
CustomField.Contract_vod__c.Batch_vod.FieldLabel	Enable Batch
CustomField.Contract_vod__c.Call_Objective_vod.FieldLabel	Call Objective
CustomField.Contract_vod__c.Call_Objective_vod.RelatedListLabel	Contracts
CustomField.Contract_vod__c.Contract_Description_Count.FieldLabel	Contract Description Count
CustomField.Contract_vod__c.Contract_Lines_w_Rate_Count_HCPTS.FieldLabel	Contract Lines With Rate
