UTF-8
BUKRS,KOSTL,KTEXT,PurchasingUnit
"0020","5002299","Yervoy Reclass",""
"0550","5002300","Yervoy Reclass",""
"0020","5002304","ALLIANCE A&P MID EAS",""
"0038","5002306","D1-PPF-FA5028",""
"0115","5002310","PROMOTION MAROC",""
"0089","5002317","Co-promtion(AZ)",""
"0020","5002322","Saudi Alliance A&P",""
"0020","5002337","Japan Alliance A&P",""
"0020","5002350","Egypt Alliance A&P",""
"0072","5002363","Promo-Morocco",""
"0020","5002390","Tunisia Alli A&P",""
"0089","5002391","Co-promtion-Gluc.",""
"0020","5002441","Japan Orencia US Chg",""
"0581","5002442","PROMOTION MAROC",""
"5085","5002443","A&P-LEVANT/E",""
"0020","5002447","Eliquis HO Flex",""
"0549","6000050","Promotion force",""
"0549","6000051","Promotion Administra",""
"0150","6000060","Virology MIX team 1",""
"0150","6000061","SF Cycle Mtgs/Trngs",""
"0150","6000062","Onco Sales Team",""
"0150","6000063","CV/MET sales team 1",""
"0150","6000064","CV/MET sales team 2",""
"0150","6000065","CV/MET sales team 3",""
"0150","6000066","CNS/IMM sales team 1",""
"0150","6000067","Call center team",""
"0020","6000356","VP Sales-Oncology",""
"0020","6000630","ITALY",""
"0020","6000778","SL ADMIN:CHINA SASS",""
"0020","6000784","GERMANY SALES FORCE",""
"0020","6000785","FRANCE SALES FORCE",""
"0020","6000786","BELGIUM SALES FORCE",""
"0020","6000787","UK SALES FORCE DIR",""
"0098","6000871","Sales Force Onco",""
"0098","6000875","Sales Force Virology",""
"0098","6000877","SF Immunology",""
"0098","6000879","Sales Force CV/Met",""
"0098","6000882","Sales Force CNS",""
"0098","6000891","OperEffectiveness",""
"0044","6000895","Training",""
"0044","6000896","SF Administration",""
"0044","6000897","KAM & CM (Inhouse)",""
"0044","6000906","SF CV/MET Area 2",""
"0044","6000908","SF CV/MET Area 1",""
"0044","6000910","SF CV old",""
"0044","6000912","SF Oncology",""
"0044","6000913","SF Abilify",""
"0044","6000914","SF Virology",""
"0034","6001002","CV MET SF",""
"0034","6001027","VIROLOGY SF",""
"0034","6001082","CUSTOMER MGT OPS",""
"0034","6001084","Sales Training",""
"0054","6001085","Field Sales Force",""
"0062","6001685","Sales Force AV",""
"0062","6001686","Sales Force Onco",""
"0062","6001808","BEP",""
"0062","6001818","ETMS",""
"0062","6001823","Training S.F.",""
"0062","6002141","PM CVMET&Athero",""
"0062","6002143","Regional Affairs Mng",""
"0115","6002595","UPSA Retail Chain SF",""
"0115","6002600","UPSA Training & Meet",""
"0020","6003794","DIABETES SALES ADMIN",""
"0020","6003826","USPG IM ALLOC",""
"0141","6003878","Entrenami.Medicines",""
"0141","6003881","CMO",""
"0141","6003885","Fza.Vtas.Neurocienci",""
"0141","6003886","SF Eliquis",""
"0141","6003887","SF Hematology",""
"0141","6003891","SF Orencia",""
"0059","6003948","Sales Force Virology",""
"0059","6003967","Sales Force Dataglif",""
"0059","6003970","Sales Force CV Met",""
"0059","6003971","Sales Force Aprovel",""
"0059","6003973","Sales Force HCV",""
"0059","6003974","SF Hematology",""
"0059","6003975","Sales Force I-O",""
"0059","6003976","Sales Admin.",""
"0053","6004013","SF CV/MET",""
"0053","6004029","SF Immuno",""
"0053","6004032","Selling-BEP",""
"0020","6004138","SALES FORCE BMS MEX",""
"0034","6004154","MED ED MANAGERS",""
"0115","6004176","OESI",""
"0115","6004294","Sales Force Sprycel",""
"0141","6004296","Fza.Vtas AMYLIN",""
"0044","6004343","Business Effektivnes",""
"0062","6004416","Sales Force Ematolog",""
"0062","6004419","Sales Force CNS MJ",""
"0020","6004428","HIV Sales Force",""
"0020","6004429","SALES REG34-IMMUNOLO",""
"0141","6004467","Training Onglyza",""
"0141","6004618","SF Virology",""
"0034","6004727","PREMIER CLUB",""
"0020","6004766","HIV Sales Admin",""
"0020","6004768","Regional Bus Dir",""
"0020","6005083","Assoc Director Commu",""
"0020","6005110","NS-New England",""
"0098","6005152","Sales Assistant",""
"0115","6005173","UPSA - External SF",""
"0020","6005207","L&D-Virology",""
"0141","6005216","Gtos.com-F.Vtas Med",""
"0141","6005218","SF IO",""
"0053","6005235","Selling-Admin",""
"0053","6005236","SF Virology",""
"0020","6005268","DIABETES SF-HOME O",""
"0115","6005271","VIRO DH",""
"0020","6005272","Sales Force-Erbit",""
"0115","6005342","MA-RELATIONS CLIENTS",""
"0115","6005356","SPE REPS CV&D",""
"0115","6005360","ALLOC SALES FORCE",""
"0141","6005376","KAM/RAM",""
"0034","6005412","CNS SF",""
"0115","6005425","SELLING ADMINISTRATI",""
"0115","6005432","FLM+HQ Staff SF CV&D",""
"0115","6005441","GP REPS CV&D",""
"0115","6005442","MA-RGC",""
"0115","6005443","Oncology SF Director",""
"0115","6005444","VIRO DR",""
"0115","6005537","DIR OP EFFECTIVENESS",""
"0052","6005567","SF Sweden Speciality",""
"0052","6005574","SF Oncology/Immunolo",""
"0052","6005578","SFE ANTI-VIRAL SWEDE",""
"0052","6005583","SF CV/MET",""
"0405","6005603","Sales Force Speciali",""
"0405","6005613","CV/MET DK",""
"0119","6005622","Sales Force Eliquis",""
"0119","6005629","SFE AV NORWAY",""
"0115","6005657","UPSA Trade Promotion",""
"0068","6005674","Sales Force PT",""
"0068","6005677","Sales Force Vir. PT",""
"0068","6005678","Sales Force Onco. PT",""
"0034","6005692","Market Access Field",""
"0526","6005795","Selling Administrati",""
"0526","6005826","Sales Force-Antivira",""
"0526","6005827","Sales Force-Oncology",""
"0526","6005840","Sales Force Hospital",""
"0020","6005893","DIABETES SALES FORCE",""
"0020","6005917","DIABETES L&D",""
"0055","6005921","Selling Administrati",""
"0055","6005923","Sales Force-Pharma",""
"0035","6005988","Pharm. Sales Admin.",""
"0035","6005989","SF East CV/MET/NS",""
"0035","6005991","SF Ont CV/Met/NS",""
"0074","6006002","Sales Force-OTH EXP.",""
"0074","6006007","Sel. Admin.-OTH EXP.",""
"0057","6006015","Sales administration",""
"0035","6006053","Comm. & Sales Effec",""
"0035","6006057","Operational Effectiv",""
"0035","6006059","Sales Admin General",""
"0035","6006061","Oncology Sales Force",""
"0035","6006062","Gen'l Slsfrce Canada",""
"0020","6006106","Sales Admin.-Erbit",""
"0115","6006116","CEP",""
"0126","6006117","Sales Force HU",""
"0052","6006118","Business Operations",""
"0115","6006122","VIRO DV",""
"0068","6006142","ETMS-OPERATION SUPP",""
"0057","6006161","SalesForce Onco&Hema",""
"0035","6006178","HCV Sales Force",""
"0020","6006182","USP Sales & Access L",""
"0020","6006194","Orencia Sales Operat",""
"0044","6006196","Trainingscosts alloc",""
"0020","6006201","Hepatitis Sales Forc",""
"0020","6006202","Hepatitis Sales Admi",""
"0044","6006206","Field Access/Field b",""
"0020","6006225","CV/Met Region Florid",""
"0115","6006250","OPERATIONAL EXCELLEN",""
"0034","6006252","Bus Effctvnss & Plng",""
"0115","6006253","FORMATION VM",""
"0115","6006423","TAXE PUBLICITE",""
"0101","6006517","Sales Force Finland",""
"0511","6006861","Business Exc & Train",""
"0511","6006869","SF Regional CV-Met",""
"0511","6006873","SF Metabolics",""
"0511","6006878","SF Speciality",""
"0511","6006880","Government",""
"0511","6006892","SF Viro",""
"0511","6006893","SF Inmuno",""
"0511","6006894","SF Oncology",""
"0511","6006895","SF OTC",""
"0511","6006899","SF Allocations",""
"0122","6006966","SFE",""
"0059","6007013","Sales Force Orencia",""
"0115","6007070","SELLING ADMIN-CEE",""
"0115","6007071","SELLING ADMINISTRATI",""
"0115","6007072","Selling Admin Be-T",""
"0115","6007075","SF Salaries Afrique",""
"0115","6007077","SALES FORCE ANTILLES",""
"0115","6007078","SALES FORCE OCEAN IN",""
"0115","6007080","SF Salaries FOT",""
"0115","6007081","SALES FORCE FOT IRBE",""
"0115","6007082","SALES FORCE ALGERIE",""
"0115","6007083","SF Tunisie Med Reps",""
"0115","6007084","SF Maroc Med Reps",""
"0020","6007085","Orencia Training T&E",""
"0020","6007086","Oncology Training T&",""
"0020","6007087","Virology Training T&",""
"0057","6007089","Co-Mkting/Co-Prom.",""
"0044","6007092","SF ORENCIA",""
"0062","6007109","SF ENTECAVIR",""
"0062","6007111","Selling Assistants",""
"0115","6007126","IMMUNO EXT SF",""
"0020","6007136","US MA Strategy & Ope",""
"0020","6007137","VP, STRATEGIC ACCTS",""
"0020","6007139","Market Access Sales",""
"0020","6007140","Market Access Sales",""
"0020","6007144","Managed Mkts Strate",""
"0020","6007147","Channel Strat Dev",""
"0115","6007153","SF VIH FP",""
"0115","6007154","FP & Meeting Sprycel",""
"0115","6007162","UPSA - BPSO",""
"0405","6007166","Dasatinib SF",""
"0405","6007167","SF Oncology/Immunolo",""
"0034","6007187","ONCOLOGY SF",""
"0020","6007195","Sales Incentive Comp",""
"0020","6007196","Samples",""
"0020","6007197","Promotional Program",""
"0020","6007199","Customer Engagement",""
"0115","6007222","Sales Force UPSA FOT",""
"0020","6007223","Targeting & Alignmen",""
"0526","6007228","Sales Force Entecavi",""
"0035","6007245","Immunology Sales For",""
"0020","6007266","SALES SUPPORT ADMIN",""
"0115","6007272","IMMUNO-DOULEUR DH",""
"0115","6007274","IMMUNO-DOULEUR DR",""
"0034","6007280","ORENCIA SF",""
"0526","6007292","Sales Force Dasatini",""
"0434","6007309","W/S MNGMNT STRATEGY",""
"0434","6007310","BUSINESS OPERATION",""
"0434","6007311","I-O Sales Admin HQ",""
"0434","6007313","BRANCH MANAGER COMMO",""
"0434","6007314","HQ EXPENSES",""
"0434","6007315","SALES ADOMINISTRATIO",""
"0434","6007316","CMI Director",""
"0434","6007317","HT SALES OFFICE",""
"0434","6007318","TK SALES OFFICE",""
"0434","6007319","H2O Director",""
"0434","6007320","KI SALES OFFICE",""
"0434","6007321","KY SALES OFFICE",""
"0434","6007322","SALES FORCE-COMMON",""
"0434","6007325","SALES FORCE AUTOMATI",""
"0434","6007329","HKSH-1",""
"0434","6007330","HKSH-2",""
"0434","6007331","HKHP-1",""
"0434","6007332","HKHP-2",""
"0434","6007333","THSH-1",""
"0434","6007334","THSH-2",""
"0434","6007335","THHP-1",""
"0434","6007336","THHP-2",""
"0434","6007337","STSH-1",""
"0434","6007339","IBSH",""
"0434","6007340","STHP",""
"0434","6007341","IBHP",""
"0434","6007342","NIHP",""
"0434","6007343","YHSH-1",""
"0434","6007344","YHSH-2",""
"0434","6007346","TKSH-1",""
"0434","6007347","TKSH-2",""
"0434","6007348","TKSH-3",""
"0434","6007349","TKHP-1",""
"0434","6007350","TKHP-2",""
"0434","6007351","TKHP-3",""
"0434","6007352","YHHP-1",""
"0434","6007353","CBSH-1",""
"0434","6007354","CBHP-1",""
"0434","6007355","HOSH",""
"0434","6007356","NGSH-1",""
"0434","6007357","NGSH-2",""
"0434","6007358","SZSH",""
"0434","6007359","MISH",""
"0434","6007360","NGHP-1",""
"0434","6007361","NGHP-2",""
"0434","6007362","SZHP",""
"0434","6007363","HOHP",""
"0434","6007364","KBSH-1",""
"0434","6007365","OSSH-1",""
"0434","6007366","KTSH",""
"0434","6007367","OSHP-1",""
"0434","6007368","OSHP-2",""
"0434","6007369","OSSH-2",""
"0434","6007370","KTHP",""
"0434","6007371","KBHP-1",""
"0434","6007372","OSSH-3",""
"0434","6007373","CGSH-1",""
"0434","6007374","CGHP-1",""
"0434","6007375","CGHP-2",""
"0434","6007376","CGSH-2",""
"0434","6007377","SHSH-1",""
"0434","6007378","SHHP-1",""
"0434","6007379","KYSH-4",""
"0434","6007380","KYSH-3",""
"0434","6007381","KYHP-1",""
"0434","6007382","KYHP-2",""
"0434","6007383","KYHP-3",""
"0434","6007385","H2O HQ",""
"0434","6007386","CMI HQ",""
"0434","6007387","NISH",""
"0434","6007390","KYSH-1",""
"0434","6007391","KYSH-2",""
"0434","6007402","TRAINING & EDUCATION",""
"0434","6007403","FIELD TRAINING",""
"0434","6007404","H2OHT",""
"0434","6007405","H2OTK",""
"0434","6007406","H2OKI",""
"0434","6007407","H2OKY",""
"0434","6007408","CMIHT",""
"0434","6007409","CMITK",""
"0434","6007410","CMIKI",""
"0434","6007411","CMIKY",""
"0434","6007412","W/S MANAGEMENT",""
"0124","6007417","Sales Force CZ",""
"0062","6007419","SALES FORCE ORENCIA",""
"0511","6007427","Business Plan & SFE",""
"0115","6007429","IMMUNO-DOUL MEETINGS",""
"0526","6007430","Key Account Speciali",""
"0119","6007431","SF Norway Specialty",""
"0141","6007443","Training DAPA",""
"0101","6007460","SFE Orencia Finland",""
"0115","6007464","VIRO MEETINGS",""
"0511","6007466","KAM Wholesalers",""
"0119","6007467","SF Norway I-O",""
"0115","6007468","Operational Excellen",""
"0434","6007474","W/S LIAISON",""
"0057","6007480","SalesForce Viro&Immu",""
"0122","6007485","Vendas Viro I",""
"0122","6007498","Vendas Onco I",""
"0122","6007500","Vendas Imuno I",""
"0122","6007504","Sales Eliquis I",""
"0122","6007516","Commercial Adm",""
"0020","6007519","Director of Sales",""
"0020","6007521","Oncology Sales Force",""
"0434","6007544","CSR",""
"0020","6007579","Bela Sales Force",""
"0020","6007580","Bela Sales Admin",""
"0053","6007640","SF Hematology",""
"0020","6007645","Erbitux Sales Force",""
"0089","6007799","Virology BAL North",""
"0050","6007802","Op Effect/Selling Ad",""
"0121","6007832","SA Sales Admin.",""
"0121","6007833","SA Total Sales Force",""
"0089","6007884","Virology PE Team",""
"0089","6007886","Customer Strategy",""
"0089","6007887","Other IT project",""
"0042","6007894","Pharm SF Virology",""
"0042","6007899","Pharm SF Rhem",""
"0150","6007917","Customer Managers& S",""
"0045","6007978","Sales Admin.",""
"0045","6008143","HEALTH CARE ACCESS E",""
"0150","6008260","KAM's teams",""
"0035","6008265","Oncology KAM's",""
"0089","6008297","Diabetes East III",""
"0020","6008303","Canada promotion",""
"0035","6008305","Abilify S/F Canada",""
"0020","6008319","Apixaban SF/AEs (PF",""
"0020","6008328","Sales Force-Spryce",""
"0020","6008329","Sales Admin.-Spryc",""
"0119","6008332","SFE Onglyza",""
"0526","6008342","CV/MET BUH PL",""
"0671","6008377","SF-ONCOLOGY",""
"0671","6008379","SF-HEPATITIS B",""
"0671","6008380","SF-Cardiovasculars",""
"0671","6008381","SF-HIV",""
"0671","6008383","Selling Admin-SFE",""
"0083","6008384","Sales Force Outsourc",""
"0083","6008385","Hematology&Immunolog",""
"0083","6008386","Virology Sales Force",""
"0083","6008387","CV & M SALESFORCE",""
"0083","6008388","TAICHUNG SERVICE CEN",""
"0083","6008389","KAOHSIUNG SERVICE CE",""
"0083","6008391","Sales Administration",""
"0083","6008392","SALES FORCE-DKSH",""
"0080","6008394","SF-Pharma",""
"0042","6008396","Pharm SF CV/Met",""
"0042","6008397","Pharm SF Oncology",""
"0042","6008398","Pharm Sales Effect",""
"0042","6008399","Pharm Bus Ops",""
"0042","6008400","Pharm Sales Admin",""
"0401","6008402","SF-Specialty",""
"0401","6008403","Sales Admin-TR",""
"0401","6008404","Sales Admin-BI",""
"0401","6008405","Sales Admin-All S.F",""
"0538","6008407","Oncology Salesforce",""
"0538","6008408","Virology Salesforce",""
"0538","6008409","Critical Care Salesf",""
"0538","6008410","Oncology Sales Admin",""
"0538","6008411","Virology Sales Admin",""
"0538","6008412","Critical Sales Admin",""
"0538","6008418","KEY ACCOUNTS",""
"0538","6008419","CV & Met Salesforce",""
"0231","6008420","SALE FORCE-ONCOLOGY",""
"0670","6008421","SALES FORE-Virology",""
"0670","6008422","SALES FORCE-CV&M",""
"0670","6008423","SALES FORCE-Specialt",""
"0670","6008424","SELLING ADMINISTRATI",""
"0526","6008427","SF Ipilimumab",""
"0670","6008433","SALES FORCE-VIROLOGY",""
"0401","6008437","SF-CV",""
"0115","6008445","UPSA - Pharmacies SF",""
"0020","6008533","Brazil alliance SF",""
"0020","6008534","Argentina alliance S",""
"0020","6008535","Australia alliance S",""
"0020","6008536","Columbia alliance SF",""
"0020","6008537","Peru alliance SF",""
"0020","6008539","Chile alliance SF",""
"0020","6008540","Spain alliance SF",""
"0020","6008541","Sweden alliance SF",""
"0020","6008543","Puerto Rico alliance",""
"0020","6008544","Greece alliance SF",""
"0020","6008545","Netherlands alliance",""
"0020","6008546","Portugal alliance SF",""
"0020","6008547","Taiwan alliance SF",""
"0020","6008549","Switzerland alliance",""
"0020","6008550","Denmark alliance SF",""
"0020","6008551","Turkey alliance SF",""
"0020","6008552","Austria alliance SF",""
"0020","6008554","Finland alliance SF",""
"0020","6008555","Norway alliance SF",""
"0020","6008556","Russia alliance SF",""
"0020","6008557","Poland alliance SF",""
"0020","6008558","Czech alliance SF",""
"0020","6008560","Hong Kong alliance S",""
"0020","6008563","Hungary alliance SF",""
"0020","6008567","Romania Sales Force",""
"0670","6008569","SALES FORCE-THIRD PA",""
"0020","6008581","FOT Alliance SF",""
"0044","6008589","Sales Force CV",""
"0089","6008591","Diabetes-Northwest",""
"0089","6008592","CU EAST I",""
"0089","6008593","CU SouthI",""
"0089","6008594","CU WEST",""
"0089","6008595","CU NORTH I",""
"0089","6008596","CU OPERATION",""
"0089","6008597","CU MKT DEVELOPING",""
"0089","6008598","CU EAST II",""
"0089","6008600","CU NORTH II",""
"0089","6008601","OTC CU Tier 2 West C",""
"0089","6008602","CU SOUTH II",""
"0089","6008604","Incentive Program (I",""
"0089","6008605","Training&Development",""
"0089","6008606","BMS Force",""
"0089","6008607","BI Headquarter",""
"0089","6008608","Virology Headquarter",""
"0089","6008609","Virology East I",""
"0089","6008610","Virology East II",""
"0089","6008611","Virology South",""
"0089","6008612","Virology West",""
"0089","6008613","Virology North",""
"0089","6008614","Virology North East",""
"0089","6008615","Virology Central",""
"0089","6008616","Diabetes Headquarter",""
"0089","6008617","Diabetes East I",""
"0089","6008618","Diabetes East II",""
"0089","6008619","Diabetes South",""
"0089","6008620","Diabetes West",""
"0089","6008621","Diabetes North I",""
"0089","6008622","Diabetes North II",""
"0089","6008623","OTC SF TM",""
"0089","6008624","OTC SF Retail-North",""
"0089","6008625","OTC SF-Hospital",""
"0089","6008626","OTC SF PE",""
"0089","6008627","OTC SF Retail-South",""
"0089","6008628","OTC SF Others(HQ)",""
"0089","6008629","AI Headquarter",""
"0089","6008630","SF-HCV",""
"0089","6008631","Diabetes Central Sou",""
"0089","6008633","CV East 2",""
"0089","6008634","CV North 2",""
"0231","6008635","Onco Headquarter",""
"0231","6008636","Onco BU NSM",""
"0231","6008637","Onco East 1",""
"0231","6008638","Onco East 2",""
"0231","6008639","Onco South",""
"0231","6008640","Onco North",""
"0048","6008643","ADMINISTRACION DE VE",""
"0048","6008644","ADMINISTRACION DE VE",""
"0048","6008645","FUERZA DE VENTAS HIV",""
"0048","6008653","FUERZA DE VENTAS HIV",""
"0048","6008654","FUERZA DE VENTAS HIV",""
"0205","6008655","VTAS KEY ACCOUNT / V",""
"0205","6008656","VTAS KEY ACCOUNT / V",""
"0205","6008657","VTAS KEY ACCOUNT / V",""
"0205","6008674","ADMON DE VENTAS REGI",""
"0205","6008676","ADMON DE VENTAS REGI",""
"0047","6008690","ADMINISTRACION DE VE",""
"0047","6008693","ADMINISTRACION DE VE",""
"0047","6008697","ADMINISTRACION DE VE",""
"0047","6008698","ADMINISTRACION DE VE",""
"0217","6008699","SALES FORCE-ONCOLOGY",""
"0217","6008703","SALES FORCE-VIROLOGY",""
"0217","6008707","ADMINISTRACION DE VE",""
"0038","6008708","Sales Force",""
"0038","6008709","Sales Force",""
"0038","6008710","Sales Force",""
"0038","6008711","Sales Force",""
"0038","6008713","Administración Venta",""
"0038","6008714","Administración Venta",""
"0083","6008724","Opdivo Sales Force",""
"0053","6008725","SF Pharmacy",""
"0553","6008732","Zymo-Sales Operation",""
"0549","6008739","Promotion force HIV",""
"0549","6008741","Promotion force ONCO",""
"0549","6008742","Promotion force IMUN",""
"0549","6008743","Promo force METAB/CV",""
"5085","6008753","GULF Sales Admin.",""
"0044","6008754","Expat GER-ESP",""
"0115","6008755","SF UPSA FP",""
"0115","6008757","SF CVMET FP",""
"0053","6008758","Apixaban Sales Force",""
"0020","6008759","Orencia National SF",""
"0401","6008764","SF-KAM",""
"0401","6008765","SF-Virology",""
"0115","6008768","Yervoy Sales Force",""
"0053","6008770","EPM",""
"0059","6008771","Field Access-0059",""
"0035","6008774","CSR Sales Force",""
"5425","6008780","EGY Total Sales Forc",""
"5425","6008784","EGY Sales Admin.",""
"4997","6008787","Zymo-Sales-Southea",""
"0231","6008795","SprycelSF-National",""
"0020","6008798","Korea Copromotion",""
"0020","6008802","Thailand alliance SF",""
"0119","6008807","Market Access",""
"0405","6008808","Field Access Denmark",""
"0101","6008809","Field Access Finland",""
"0052","6008810","Field Access Sweden",""
"0045","6008814","ONCOLOGY SF",""
"0045","6008815","IMMUNOLOGY&VIROLOGY",""
"0141","6008817","Training AMYLIN",""
"0020","6008828","ALLIANCE COPROMO MID",""
"0526","6008830","SalesForce Apixaban",""
"0412","6008831","Sales Force Israel",""
"0550","6008834","Sales Force",""
"0550","6008835","Sales Admin",""
"0044","6008839","RAR Virology",""
"0089","6008840","Virology BAL East1",""
"0089","6008841","Virology BAL East2",""
"0089","6008842","Virology BAL South",""
"0089","6008843","Virology BAL West",""
"0044","6008846","KAM (Field based)",""
"0044","6008847","RAR CV Met/Onco Med",""
"0083","6008850","SFOutsource-key prod",""
"0035","6008851","SF West CV/Met/NS",""
"0020","6008852","USP Strategy & Opera",""
"0054","6008853","EU Mrkt Field Trng",""
"5085","6008854","GULF Total Sales For",""
"0434","6008855","KA SALES OFFICE",""
"0434","6008856","TO SALES OFFICE",""
"0434","6008857","H2OKA",""
"0434","6008858","H2OTO",""
"0434","6008859","CMIKA",""
"0434","6008860","CMITO",""
"0434","6008861","THSH-3",""
"0434","6008862","KKSH",""
"0434","6008863","TKSH-4",""
"0434","6008864","NYSH",""
"0434","6008865","YHHP-2",""
"0434","6008866","KBSH-2",""
"0434","6008867","OSHP-3",""
"0434","6008868","KYHP-4",""
"0434","6008869","KYSH-5",""
"0089","6008870","CV Headquarter",""
"0089","6008871","CV East",""
"0089","6008872","CV South",""
"0089","6008873","CV North",""
"0401","6008874","Commercial Excellenc",""
"0089","6008875","CV Northwest",""
"0044","6008881","RAR Virology",""
"0556","6008883","SF NE Amylin-3100",""
"0020","6008899","HepC Sales Force",""
"0020","6008900","HepC Sales Admin",""
"0035","6008903","Mkt Acc Field CDN",""
"0020","6008907","Saudi Sales Force",""
"0217","6008912","CV MET",""
"0020","6008913","Amylin Sales Force A",""
"0020","6008914","Tech Learning Solut",""
"0044","6008927","RAR LCF Abilify10031",""
"0035","6008928","DNS Canada",""
"0050","6008929","SF Immunoscience",""
"0050","6008932","Sales Force Oncology",""
"0020","6008933","DIABETES SALES ADMIN",""
"0020","6008934","DIABETES SF-HOME O",""
"0020","6008935","DIABETES L&D",""
"0020","6008936","DIABETES SALES FORCE",""
"0020","6008938","CV SALES ADMIN",""
"0020","6008939","CV SF-HOME OFFICE",""
"0020","6008940","CV L&D",""
"0020","6008941","CV SALES FORCE",""
"0020","6008942","CV SF H.O. CREDIT",""
"0020","6008945","SF CSO Amylin-3200",""
"0020","6008952","SF NE Amylin-3100",""
"0020","6008953","SF SE Amylin-3300",""
"0434","6008956","CMICS",""
"0434","6008957","STSH-2",""
"0434","6008958","CBSH-2",""
"0434","6008959","TKSH-5",""
"0434","6008960","TKSH-6",""
"0434","6008961","YHSH-3",""
"0434","6008962","GFSH",""
"0434","6008963","SNSH",""
"0434","6008964","CGSH-3",""
"0434","6008965","SHSH-2",""
"0053","6008966","SF Diabetes",""
"0231","6008968","Diab. BU  Headquarte",""
"0231","6008969","Diab. East I",""
"0231","6008970","Diab. East II",""
"0231","6008971","Diab. South",""
"0231","6008972","Diab. West",""
"0231","6008973","Diab. North I",""
"0231","6008974","Diab. North II",""
"0231","6008976","Diab. East III",""
"0231","6008977","Diab. Central South",""
"0020","6008979","Japan Alliance SF",""
"0072","6009020","Sales F Morocco",""
"0083","6009022","HIV Sales Force",""
"0124","6009024","BEP function in CZ",""
"0035","6009025","DNS Canada",""
"0048","6009026","SALES FORCE VIROLOGY",""
"0231","6009029","Co-promtion",""
"0080","6009059","SF-Eliquis",""
"0234","6009061","SF",""
"0231","6009063","Sales Force Admin",""
"0070","6009068","SASS CoPromo",""
"0070","6009069","SASS Sales Admin",""
"0550","6009071","Nivo Sales Force",""
"0550","6009072","Nivo Sale Admin",""
"0020","6009073","Elotuzumab Sale Forc",""
"0020","6009074","Elotuzumab Sale Admi",""
"0080","6009075","Com Excellence Dept",""
"0217","6009076","Co Marketing Alianza",""
"0020","6009078","USP HQ IT-Sales",""
"0434","6009079","THHP-3",""
"0434","6009081","HKGP-2",""
"0434","6009082","THGP-1",""
"0434","6009084","THGP-3",""
"0434","6009085","CBHP-2",""
"0434","6009086","KKHP",""
"0434","6009087","CIGP",""
"0434","6009088","STGP",""
"0434","6009089","KKGP",""
"0434","6009090","TKHP-4",""
"0434","6009091","NYHP",""
"0434","6009092","TKGP",""
"0434","6009093","TKGP-2",""
"0434","6009094","YHGP",""
"0434","6009095","NGHP-3",""
"0434","6009096","NGGP-1",""
"0434","6009097","NGGP-2",""
"0434","6009098","SZGP",""
"0434","6009099","HOGP",""
"0434","6009100","KBHP-2",""
"0434","6009101","OSGP-1",""
"0434","6009102","OSGP-2",""
"0434","6009103","KTGP",""
"0434","6009104","KBGP",""
"0434","6009105","H2OCS",""
"0434","6009106","CS SALES OFFICE",""
"0434","6009107","CGHP-3",""
"0434","6009108","SHHP-2",""
"0434","6009109","CGGP-1",""
"0434","6009110","CGGP-2",""
"0434","6009111","CGGP-3",""
"0434","6009112","SHGP",""
"0434","6009113","KYHP-5",""
"0434","6009114","KYGP",""
"0434","6009115","KYGP-2",""
"0434","6009116","KYGP-3",""
"0434","6009117","KYGP-4",""
"0556","6009120","Amylin Sales Ops AZ",""
"0511","6009131","Mexico Sales IT/IS",""
"0045","6009133","ELIQUIS SALES FORCE",""
"0044","6009136","BMS-Diabetes 2014 SF",""
"0122","6009140","Sales Eliquis II",""
"0044","6009142","BMS-Diabetes Cars",""
"0122","6009152","Diabetes AZ spend-Sa",""
"0044","6009163","Diabetes AZ spend",""
"0124","6009187","Market Access Field",""
"0020","6009193","AZ Co Promo Type2",""
"0038","6009194","Diabetes AZ spend-S",""
"0020","6009195","Oncology Expat-Home",""
"0581","6009196","Op. Excel. Mgmt",""
"0581","6009197","SF Training",""
"0581","6009198","Customer Experience",""
"0581","6009199","Transparency",""
"0581","6009200","TAI",""
"0581","6009202","Customer Relations F",""
"0581","6009203","IT Other",""
"0581","6009204","Field Access",""
"0581","6009205","Onco Sales Mgmt",""
"0581","6009206","Onco OPEX",""
"0581","6009207","IO SF",""
"0581","6009208","Hemato SF",""
"0581","6009209","Onco Meetings & Sem.",""
"0581","6009210","Viro Sales Mgmt",""
"0581","6009211","Viro OPEX",""
"0581","6009212","HIV SF",""
"0581","6009213","VIRO SALES DIR",""
"0581","6009214","Viro Meetings & Sem.",""
"0581","6009215","CV Sales Mgmt",""
"0581","6009216","CV SF Hospitals",""
"0581","6009217","SELLING ADMIN. ACCE",""
"0581","6009218","CV SF Retail",""
"0581","6009219","CV OPEX",""
"0581","6009220","CV Meetings & Sem.",""
"0581","6009221","Immuno Sales Directo",""
"0581","6009222","Immuno Sales Mgmt",""
"0581","6009223","Immuno Ext SF",""
"0581","6009224","Immuno SF",""
"0581","6009225","Immuno Meetings & Se",""
"0581","6009226","Promotional Tax",""
"0581","6009227","Customer Relations F",""
"0581","6009228","SELLING ADMINISTRATI",""
"0581","6009229","Selling Admin Be-T",""
"0581","6009230","SF Salaries Afrique",""
"0581","6009231","SF West Indies",""
"0581","6009232","SF Reunion",""
"0581","6009233","SF Mgmt FOT",""
"0581","6009234","SALES FORCE ALGERIE",""
