UTF-8
WBS Element,Short Description,Parent ID,Parent Description,Company Code,Currency,Start Date,End Date,Available Budget,Total Budget
"V40068-160012","Perceptorship 2","1900000000000002795820","Medical Publications","0068","EUR","01/01/2016","12/31/2016",52012.66,135135.00
"W50074-160040","W5-MKT-DAC Sales Regiotopf","1900000000000002636120","A&P","0074","CHF","01/01/2016","12/31/2016",61367.62,199512.00
"V40101-160003","Melanoma regimen advisory board Jan 20","1900000000000002668020","Medical Publications & Other Medical Aff","0101","EUR","01/01/2016","12/31/2016",102505.70,164621.04
"WR0020-160015","2016 Data Acquisition Eliquis HQ","1900000000000002927120","Data","0020","USD","01/01/2016","12/31/2016",534105.20,1773393.00
"WR0020-160016","2016 Data Acquisition Eliquis JV","1900000000000002904120","Data","0020","USD","01/01/2016","12/31/2016",0.63,935385.00
"W50059-160024","PHC congress Paris","1900000000000002679820","A&P","0059","EUR","01/01/2016","12/31/2016",52166.64,344184.99
"V20550-160013","Other Medical Activities","1900000000000002960220","Other Medical Affairs","0550","USD","01/01/2016","12/31/2016",458980.00,560000.00
"V20550-160014","Other Medical Activities","1900000000000002959220","Other Medical Affairs","0550","USD","01/01/2016","12/31/2016",52823.00,190000.00
"V20550-160015","Other Medical Activities","1900000000000002960420","Other Medical Affairs","0550","USD","01/01/2016","12/31/2016",85438.00,140000.00
"V20550-160016","Other Medical Activities","1900000000000002937120","Other Medical Affairs","0550","USD","01/01/2016","12/31/2016",193068.00,250000.00
"V20550-160017","Other Medical Activities","1900000000000002957020","Other Medical Affairs","0550","USD","01/01/2016","12/31/2016",100000.00,100000.00
"V20550-160018","Other Medical Activities","1900000000000002960320","Other Medical Affairs","0550","USD","01/01/2016","12/31/2016",100000.00,100000.00
"WR0020-160017","2016 Data Acquisition Sustiva","1900000000000002881520","Data","0020","USD","01/01/2016","12/31/2016",17107.12,877240.00
"V20020-160014","Consulting Fees","1900000000000002906120","Other Medical Affairs","0020","USD","01/01/2016","12/31/2016",931277.37,1404085.71
"WR0020-160018","2016 Data Acquisition Reyataz","1900000000000002881920","Data","0020","USD","01/01/2016","12/31/2016",188.12,641407.00
"WR0550-160004","2016 Data Acquisition Opdivo Lung","1900000000000002900820","Data","0550","USD","01/01/2016","12/31/2016",1739319.45,6469592.00
"W50020-160070","Contact Center (HCP)","1900000000000002761920","A&P","0020","USD","01/01/2016","12/31/2016",1441669.89,9059563.00
"W50020-160069","Contact Center (Consumer)","1900000000000002761920","A&P","0020","USD","01/01/2016","12/31/2016",1441669.89,9059563.00
"WR0020-160019","2016 Data Acquisition Azactam","1900000000000002904420","Data","0020","USD","01/01/2016","12/31/2016",41243.00,41243.00
"W50020-160071","2016 Exhibits","1900000000000002936820","A&P","0020","USD","01/01/2016","12/31/2016",224369.85,625000.00
"WR0020-160020","2016 US Eliquis Market Research","1900000000000002726320","Market Research Studies","0020","USD","01/01/2016","12/31/2016",2493317.11,3915000.00
"WR0020-160021","PFE- LED MR Projects","1900000000000002726320","Market Research Studies","0020","USD","01/01/2016","12/31/2016",2493317.11,3915000.00
"W50119-160018","Dagens Medisin lungekreft feb 2016","1900000000000002673420","A&P","0119","NOK","01/01/2016","12/31/2016",613789.72,1200973.00
"W50034-160023","BSR","1900000000000002723720","A&P","0034","GBP","01/01/2016","12/31/2016",292476.02,747500.00
"V40115-160001","Board Pharma","1900000000000002929420","Medical Publications","0115","EUR","01/01/2016","12/31/2016",51017.00,60000.00
"V40115-160003","Publications","1900000000000002929420","Medical Publications","0115","EUR","01/01/2016","12/31/2016",51017.00,60000.00
"V40115-160005","MA dossiers","1900000000000002929420","Medical Publications","0115","EUR","01/01/2016","12/31/2016",51017.00,60000.00
"V40115-160002","Expert Consulting","1900000000000002929420","Medical Publications","0115","EUR","01/01/2016","12/31/2016",51017.00,60000.00
"V40115-160004","Other projects & Supply","1900000000000002929420","Medical Publications","0115","EUR","01/01/2016","12/31/2016",51017.00,60000.00
"W50053-160012","ORENCIA Belgium - A&P marketing 2016","1900000000000002694720","A&P","0053","EUR","01/01/2016","12/31/2016",82488.92,245280.00
"WR0053-160007","ORENCIA Belgium - Market Research 2016","1900000000000002694920","Market Research","0053","EUR","01/01/2016","12/31/2016",12018.00,29775.00
"WF0053-160004","ORENCIA OM Belgium 2016","1900000000000002695020","Other Marketing","0053","EUR","01/01/2016","12/31/2016",40291.51,57800.00
"W50062-160025","Sprycel Congresso SIES 2016","1900000000000002800220","A&P","0062","EUR","01/01/2016","12/31/2016",376481.05,908097.50
"W50034-160024","Advertising","1900000000000002723720","A&P","0034","GBP","01/01/2016","12/31/2016",292476.02,747500.00
"W50581-160074","FR1940-ECHO Bordeaux 2016","1900000000000002592920","A&P","0581","EUR","01/01/2016","12/31/2016",601442.26,2305000.00
"WR0062-160002","Opdivo Mkt.Res. Biomarker Mapping","1900000000000002792820","Market Research","0062","EUR","01/01/2016","12/31/2016",119980.00,561957.00
"W50068-160001","Promotional materials","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160002","Reprints","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160003","Promotional booth","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160004","Reuniões de lançamento - Unboosted","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160005","Sales rep meetings","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160006","Regional congresses","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160007","Artigos de Opinião","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160008","Sponsor poster presentations","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160009","Advisory Board","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160010","Jornadas do Curry Cabral","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160011","APECS","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160012","Jornadas Med. Interna HIV","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160013","Cong. Nac. Infecciologia","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160014","Russian Congress","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160016","CROI","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160017","ICAAC","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160018","HIV Drug Therapy (Glasgow)","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"W50068-160020","SIDA Magazine","1900000000000002795920","A&P","0068","EUR","01/01/2016","12/31/2016",114889.76,331605.00
"WR0068-160001","Message recall & test Evotaz positioning","1900000000000002797120","Market Research","0068","EUR","01/01/2016","12/31/2016",35000.00,35000.00
"W50074-160041","W5-MKT-YER-Mediaplan","1900000000000002851220","A&P","0074","CHF","01/01/2016","12/31/2016",14586.00,38146.15
"W50074-160042","W5-MKT-YER-Promomat","1900000000000002851220","A&P","0074","CHF","01/01/2016","12/31/2016",14586.00,38146.15
"WF0062-160075","Dacla Optima/Adhoc 2016 Project","1900000000000002779820","Other Marketing","0062","EUR","01/01/2016","12/31/2016",685419.01,1526255.40
"W50074-160043","W5-MKT-YER-P2P / Events Marketing","1900000000000002851220","A&P","0074","CHF","01/01/2016","12/31/2016",14586.00,38146.15
"V40044-160008","Advisory Boards","1900000000000002753120","Medical Publications","0044","EUR","01/01/2016","12/31/2016",1135321.44,1300000.00
"W50074-160044","W5-MKT-YER-P2P / Events Sales Force","1900000000000002851220","A&P","0074","CHF","01/01/2016","12/31/2016",14586.00,38146.15
"W50074-160045","W5-MKT-YER-Sponsoring","1900000000000002851220","A&P","0074","CHF","01/01/2016","12/31/2016",14586.00,38146.15
"V40044-160009","Non Promotional Medical Education","1900000000000002753120","Medical Publications","0044","EUR","01/01/2016","12/31/2016",1135321.44,1300000.00
"W50074-160046","W5-MKT-NIVO-MELRCC-Congresses","1900000000000002686220","A&P","0074","CHF","01/01/2016","12/31/2016",234836.63,514994.15
"V40044-160010","Field Medical","1900000000000002753120","Medical Publications","0044","EUR","01/01/2016","12/31/2016",1135321.44,1300000.00
"W50074-160047","W5-MKT-NIVO-MELRCC-Consulting","1900000000000002686220","A&P","0074","CHF","01/01/2016","12/31/2016",234836.63,514994.15
"W50074-160048","W5-MKT-NIVO-MELRCC-Mediaplan MEL/RCC","1900000000000002686220","A&P","0074","CHF","01/01/2016","12/31/2016",234836.63,514994.15
"W50044-160045","1940 Eliquis Digital:Webseite 2016","1900000000000002712720","A&P","0044","EUR","01/01/2016","12/31/2016",200023.52,663600.03
"W50074-160050","W5-MKT-NIVO-MELRCC-Promomat","1900000000000002686220","A&P","0074","CHF","01/01/2016","12/31/2016",234836.63,514994.15
"W50074-160051","W5-MKT-NIVO-MELRCC-P2P/Events Marketing","1900000000000002686220","A&P","0074","CHF","01/01/2016","12/31/2016",234836.63,514994.15
"W50074-160052","W5-MKT-NIVO-MELRCC-P2P/Events SF","1900000000000002686220","A&P","0074","CHF","01/01/2016","12/31/2016",234836.63,514994.15
"W50044-160046","1940 Eliquis Werbemittellager TOF 2016","1900000000000002712720","A&P","0044","EUR","01/01/2016","12/31/2016",200023.52,663600.03
"W50074-160053","W5-MKT-NIVO-MELRCC-SF Training","1900000000000002686220","A&P","0074","CHF","01/01/2016","12/31/2016",234836.63,514994.15
"W50074-160054","W5-MKT-NIVO-MELRCC-Sponsorings","1900000000000002686220","A&P","0074","CHF","01/01/2016","12/31/2016",234836.63,514994.15
"W50044-160047","1940 Eliquis STEM 2016","1900000000000002712720","A&P","0044","EUR","01/01/2016","12/31/2016",200023.52,663600.03
"WR0074-160003","W5-MR-NIVO-MELRCC-Market Research","1900000000000002686420","Market Research","0074","CHF","01/01/2016","12/31/2016",30049.83,72219.00
"W50044-160050","1940 Eliquis Literature 2016","1900000000000002712720","A&P","0044","EUR","01/01/2016","12/31/2016",200023.52,663600.03
"W50044-160051","1940 Eliquis Mailing 2016","1900000000000002712720","A&P","0044","EUR","01/01/2016","12/31/2016",200023.52,663600.03
"W50044-160052","1940 Media Plan 2016","1900000000000002712720","A&P","0044","EUR","01/01/2016","12/31/2016",200023.52,663600.03
"W50020-160072","2016 USMA Reports","1900000000000002934620","A&P","0020","USD","01/01/2016","12/31/2016",20555.75,390000.00
"V40044-160011","Ad Board","1900000000000002723420","Medical Publications & Other Medical Aff","0044","EUR","01/01/2016","12/31/2016",138262.75,294000.00
"V40044-160012","Virology Faculty","1900000000000002723420","Medical Publications & Other Medical Aff","0044","EUR","01/01/2016","12/31/2016",138262.75,294000.00
"W50044-160053","1940 Eliquis Charite Workshop 2016","1900000000000002712720","A&P","0044","EUR","01/01/2016","12/31/2016",200023.52,663600.03
"V40044-160013","Expert Panel","1900000000000002723420","Medical Publications & Other Medical Aff","0044","EUR","01/01/2016","12/31/2016",138262.75,294000.00
"V40044-160014","HIV-13 Scientific Roundtable","1900000000000002723420","Medical Publications & Other Medical Aff","0044","EUR","01/01/2016","12/31/2016",138262.75,294000.00
"V40044-160015","KIT Symposium","1900000000000002723420","Medical Publications & Other Medical Aff","0044","EUR","01/01/2016","12/31/2016",138262.75,294000.00
"W50020-160074","2016 ELIQUIS Hospital Print","1900000000000002894320","A&P","0020","USD","01/01/2016","12/31/2016",1150720.40,2743072.00
"W50020-160073","2016 ELIQUIS Hospital Agency Fees","1900000000000002894320","A&P","0020","USD","01/01/2016","12/31/2016",1150720.40,2743072.00
"V40044-160016","MSM Activities","1900000000000002723420","Medical Publications & Other Medical Aff","0044","EUR","01/01/2016","12/31/2016",138262.75,294000.00
"V40044-160017","Publications, Poster reprises","1900000000000002723420","Medical Publications & Other Medical Aff","0044","EUR","01/01/2016","12/31/2016",138262.75,294000.00
"W50020-160075","2016 ELIQUIS Hospital Congress Fees","1900000000000002894320","A&P","0020","USD","01/01/2016","12/31/2016",1150720.40,2743072.00
"V40044-160018","National SHE Day","1900000000000002723420","Medical Publications & Other Medical Aff","0044","EUR","01/01/2016","12/31/2016",138262.75,294000.00
"V40044-160019","Slide deck development, Translations","1900000000000002723420","Medical Publications & Other Medical Aff","0044","EUR","01/01/2016","12/31/2016",138262.75,294000.00
"W50550-160083","Digital-Heartbeat (Patient)","1900000000000002758920","A&P","0550","USD","01/01/2016","12/31/2016",31851.40,1046984.00
"W50068-160021","Promotional materials","1900000000000002797820","A&P","0068","EUR","01/01/2016","12/31/2016",31833.10,61945.00
"W50550-160084","Contact Center (Patient)","1900000000000002758920","A&P","0550","USD","01/01/2016","12/31/2016",31851.40,1046984.00
"W50550-160085","Patient Hub-Ambassador Advisory Panel","1900000000000002758920","A&P","0550","USD","01/01/2016","12/31/2016",31851.40,1046984.00
"W50020-160076","2016 ELIQUIS Consumer TAG Print","1900000000000002894220","A&P","0020","USD","01/01/2016","12/31/2016",1639495.49,2150072.00
"W50020-160077","2016 ELIQUIS Consumer Print","1900000000000002894220","A&P","0020","USD","01/01/2016","12/31/2016",1639495.49,2150072.00
"W50550-160086","Patient Hub-Video","1900000000000002758920","A&P","0550","USD","01/01/2016","12/31/2016",31851.40,1046984.00
"W50550-160087","Digital-Heartbeat (HCP)","1900000000000002758920","A&P","0550","USD","01/01/2016","12/31/2016",31851.40,1046984.00
"W50020-160079","2016 ELIQUIS HCP Agency Fees.","1900000000000002896820","A&P","0020","USD","01/01/2016","12/31/2016",4236288.72,9136162.00
"W50020-160078","2016 ELIQUIS Promo Med Ed Agency Fees","1900000000000002896820","A&P","0020","USD","01/01/2016","12/31/2016",4236288.72,9136162.00
"W50020-160080","2016 ELIQUIS Competitive Intelligence","1900000000000002896820","A&P","0020","USD","01/01/2016","12/31/2016",4236288.72,9136162.00
"W50020-160081","Sprycel Patient AOR","1900000000000002870020","A&P","0020","USD","01/01/2016","12/31/2016",10732.55,2127246.00
"W50020-160082","Sprycel Patient Print Production","1900000000000002870020","A&P","0020","USD","01/01/2016","12/31/2016",10732.55,2127246.00
"V40035-160008","CAPHO Satellite Symposium","1900000000000002762920","Medical Publications","0035","CAD","01/01/2016","12/31/2016",563074.91,708717.48
"W50068-160022","Other rep meetings/ speaker meetings","1900000000000002797820","A&P","0068","EUR","01/01/2016","12/31/2016",31833.10,61945.00
"W50068-160023","Congressos regionais","1900000000000002797820","A&P","0068","EUR","01/01/2016","12/31/2016",31833.10,61945.00
"W50068-160024","APEF","1900000000000002797820","A&P","0068","EUR","01/01/2016","12/31/2016",31833.10,61945.00
"W50068-160025","Semana Digestiva","1900000000000002797820","A&P","0068","EUR","01/01/2016","12/31/2016",31833.10,61945.00
"W50550-160088","Digital-TAG (HCP)","1900000000000002758920","A&P","0550","USD","01/01/2016","12/31/2016",31851.40,1046984.00
"W50550-160089","Channel Integration-FICO(HCP)","1900000000000002758920","A&P","0550","USD","01/01/2016","12/31/2016",31851.40,1046984.00
"W50020-160085","2016 ELIQUIS HCP TAG Print Fees","1900000000000002896820","A&P","0020","USD","01/01/2016","12/31/2016",4236288.72,9136162.00
"W50020-160086","2016 ELIQUIS HCP Print Fees","1900000000000002896820","A&P","0020","USD","01/01/2016","12/31/2016",4236288.72,9136162.00
"W50020-160095","Digital - BIT (Consumer)","1900000000000002761920","A&P","0020","USD","01/01/2016","12/31/2016",1441669.89,9059563.00
"W50020-160115","2016 ELIQUIS Payer Agency Fees","1900000000000002894420","A&P","0020","USD","01/01/2016","12/31/2016",1010736.99,3379500.00
"W50020-160116","2016 ELIQUIS Payer Print Fees","1900000000000002894420","A&P","0020","USD","01/01/2016","12/31/2016",1010736.99,3379500.00
"W50020-160117","2016 ELIQUIS Payer Consulting Fees","1900000000000002894420","A&P","0020","USD","01/01/2016","12/31/2016",1010736.99,3379500.00
"W50020-160120","2016 ELIQUIS Targeting and Alignment","1900000000000002896820","A&P","0020","USD","01/01/2016","12/31/2016",4236288.72,9136162.00
"W50020-160101","Digital-Digitas (Patient)","1900000000000002761920","A&P","0020","USD","01/01/2016","12/31/2016",1441669.89,9059563.00
"W50020-160121","2016 ELIQUIS HCP Congress Fees","1900000000000002896820","A&P","0020","USD","01/01/2016","12/31/2016",4236288.72,9136162.00
"W50020-160114","Channel Integration - FICO (Consumer)","1900000000000002761920","A&P","0020","USD","01/01/2016","12/31/2016",1441669.89,9059563.00
"W50020-160118","Print Operations - (Patient)","1900000000000002761920","A&P","0020","USD","01/01/2016","12/31/2016",1441669.89,9059563.00
"W50020-160119","Print Production-(Patient)","1900000000000002761920","A&P","0020","USD","01/01/2016","12/31/2016",1441669.89,9059563.00
"W50020-160122","Print Production - (Payer)","1900000000000002761920","A&P","0020","USD","01/01/2016","12/31/2016",1441669.89,9059563.00
"W50020-160123","Channel Integration - FICO (Payer)","1900000000000002761920","A&P","0020","USD","01/01/2016","12/31/2016",1441669.89,9059563.00
"W50020-160124","Empliciti Patient AOR","1900000000000002864820","A&P","0020","USD","01/01/2016","12/31/2016",102589.65,2565000.00
"W50020-160125","Channel Integration-FICO(HCP)","1900000000000002761920","A&P","0020","USD","01/01/2016","12/31/2016",1441669.89,9059563.00
"W50020-160126","Print Production-(HCP)","1900000000000002761920","A&P","0020","USD","01/01/2016","12/31/2016",1441669.89,9059563.00
"W50131-160002","EU 2016 CONGRESSES","1900000000000002719320","A&P","0131","GBP","01/01/2016","12/31/2016",1225430.73,3004387.27
"W50020-160127","Print Operations-(HCP)","1900000000000002761920","A&P","0020","USD","01/01/2016","12/31/2016",1441669.89,9059563.00
"W50020-160128","Digital - Cement Bloc (HCP)","1900000000000002761920","A&P","0020","USD","01/01/2016","12/31/2016",1441669.89,9059563.00
"W50020-160129","Digital - Evoke (HCP)","1900000000000002761920","A&P","0020","USD","01/01/2016","12/31/2016",1441669.89,9059563.00
"W50020-160130","Digital - BIT (HCP)","1900000000000002761920","A&P","0020","USD","01/01/2016","12/31/2016",1441669.89,9059563.00
"W50020-160131","Consultant Projects - Early Fibrosis","1900000000000002720520","A&P","0020","USD","01/01/2016","12/31/2016",44075.00,150000.00
"V40434-160027","SP Medical ISR","1900000000000002781420","Medical Publications","0434","JPY","01/01/2016","12/31/2016",70279.81,110028.80
"V40434-160028","SP Medical Advisory Board","1900000000000002781420","Medical Publications","0434","JPY","01/01/2016","12/31/2016",70279.81,110028.80
"V40434-160029","SP Medical Congress- In Person","1900000000000002781420","Medical Publications","0434","JPY","01/01/2016","12/31/2016",70279.81,110028.80
"V40434-160030","SP Consultant Fees","1900000000000002781420","Medical Publications","0434","JPY","01/01/2016","12/31/2016",70279.81,110028.80
"V40434-160031","SP Medical Publications","1900000000000002781420","Medical Publications","0434","JPY","01/01/2016","12/31/2016",70279.81,110028.80
"V40434-160032","OP Hodgkin Medical Advisory Board","1900000000000002900520","Medical Publications","0434","JPY","01/01/2016","12/31/2016",100000.00,100000.00
"V40434-160034","OP Hodgkin Medical Manuscript","1900000000000002900520","Medical Publications","0434","JPY","01/01/2016","12/31/2016",100000.00,100000.00
"V40434-160033","OP Hodgkin Medical Congress","1900000000000002900520","Medical Publications","0434","JPY","01/01/2016","12/31/2016",100000.00,100000.00
"V40434-160035","OP Hodgkin Medical Educational Seminar","1900000000000002900520","Medical Publications","0434","JPY","01/01/2016","12/31/2016",100000.00,100000.00
"V40434-160039","OP Hodgkin Medical Speaker Development","1900000000000002900520","Medical Publications","0434","JPY","01/01/2016","12/31/2016",100000.00,100000.00
"V40434-160041","OP Hodgkin Other Medical Activity","1900000000000002900520","Medical Publications","0434","JPY","01/01/2016","12/31/2016",100000.00,100000.00
"V40434-160040","OP Hodgkin Medical ISR","1900000000000002900520","Medical Publications","0434","JPY","01/01/2016","12/31/2016",100000.00,100000.00
"V40434-160042","ELO Medical Advisory Board","1900000000000002782120","Medical Publications","0434","JPY","01/01/2016","12/31/2016",286072.71,375000.00
"V40434-160043","ELO Medical Pub Congress","1900000000000002782120","Medical Publications","0434","JPY","01/01/2016","12/31/2016",286072.71,375000.00
"V40434-160044","ELO Medical Pub Manuscript","1900000000000002782120","Medical Publications","0434","JPY","01/01/2016","12/31/2016",286072.71,375000.00
"V40434-160045","ELO Medical Educational Seminar","1900000000000002782120","Medical Publications","0434","JPY","01/01/2016","12/31/2016",286072.71,375000.00
"V40434-160046","ELO Medical Speaker Development","1900000000000002782120","Medical Publications","0434","JPY","01/01/2016","12/31/2016",286072.71,375000.00
"V40434-160047","ELO Medical ISR","1900000000000002782120","Medical Publications","0434","JPY","01/01/2016","12/31/2016",286072.71,375000.00
"V40434-160048","ELO Other Medical Activity","1900000000000002782120","Medical Publications","0434","JPY","01/01/2016","12/31/2016",286072.71,375000.00
"W50089-160001","Glucophage Marketing 2016","1900000000000002997520","A&P","0089","CNY","01/01/2016","12/31/2016",9821906.83,10000000.00
"W50089-160006","Glucophage Sales West 2016","1900000000000002997520","A&P","0089","CNY","01/01/2016","12/31/2016",9821906.83,10000000.00
"W50089-160004","Glucophage Sales North West 2016","1900000000000002997520","A&P","0089","CNY","01/01/2016","12/31/2016",9821906.83,10000000.00
"W50089-160002","Glucophage Sales East 2016","1900000000000002997520","A&P","0089","CNY","01/01/2016","12/31/2016",9821906.83,10000000.00
"W50089-160003","Glucophage Sales North 2016","1900000000000002997520","A&P","0089","CNY","01/01/2016","12/31/2016",9821906.83,10000000.00
"W50089-160005","Glucophage Sales South 2016","1900000000000002997520","A&P","0089","CNY","01/01/2016","12/31/2016",9821906.83,10000000.00
"W50101-160027","SPR Sales Force Field Activities 2016","1900000000000002666220","A&P","0101","EUR","01/01/2016","12/31/2016",9523.10,27742.27
"W50101-160028","SPR Turku Symposium 2016","1900000000000002666220","A&P","0101","EUR","01/01/2016","12/31/2016",9523.10,27742.27
"W50101-160029","SPR National Hematology Days 2016","1900000000000002666220","A&P","0101","EUR","01/01/2016","12/31/2016",9523.10,27742.27
"WF0150-160010","RA DA info campaign with RRA","1900000000000002639220","Other Marketing","0150","RUB","01/01/2016","12/31/2016",299792.99,5779380.00
"WF0150-160012","Advertising modul","1900000000000002639220","Other Marketing","0150","RUB","01/01/2016","12/31/2016",299792.99,5779380.00
"WF0150-160013","Reprints","1900000000000002639220","Other Marketing","0150","RUB","01/01/2016","12/31/2016",299792.99,5779380.00
"WF0150-160014","Regional RTs","1900000000000002639220","Other Marketing","0150","RUB","01/01/2016","12/31/2016",299792.99,5779380.00
"WF0150-160015","Support National RA register","1900000000000002639220","Other Marketing","0150","RUB","01/01/2016","12/31/2016",299792.99,5779380.00
"WF0150-160016","Support National JIA register","1900000000000002639220","Other Marketing","0150","RUB","01/01/2016","12/31/2016",299792.99,5779380.00
"WF0150-160017","JIA patients schools","1900000000000002639220","Other Marketing","0150","RUB","01/01/2016","12/31/2016",299792.99,5779380.00
"WF0150-160018","DA info campaign","1900000000000002639220","Other Marketing","0150","RUB","01/01/2016","12/31/2016",299792.99,5779380.00
"WF0150-160020","Cost-effectiveness analysis","1900000000000002639320","Other Marketing","0150","RUB","01/01/2016","12/31/2016",1106681.00,9157500.00
"WF0150-160021","Advertising module","1900000000000002639320","Other Marketing","0150","RUB","01/01/2016","12/31/2016",1106681.00,9157500.00
"WF0150-160022","Regional Healtheconomic RTs","1900000000000002639320","Other Marketing","0150","RUB","01/01/2016","12/31/2016",1106681.00,9157500.00
"WF0150-160023","Strategic concilium","1900000000000002639320","Other Marketing","0150","RUB","01/01/2016","12/31/2016",1106681.00,9157500.00
"WF0150-160024","DA info campaign","1900000000000002639320","Other Marketing","0150","RUB","01/01/2016","12/31/2016",1106681.00,9157500.00
"WF0150-160025","Support National CML register","1900000000000002639320","Other Marketing","0150","RUB","01/01/2016","12/31/2016",1106681.00,9157500.00
"WF0150-160026","Educational CML RTs","1900000000000002639320","Other Marketing","0150","RUB","01/01/2016","12/31/2016",1106681.00,9157500.00
"WF0150-160027","Support LM Epid project","1900000000000002639320","Other Marketing","0150","RUB","01/01/2016","12/31/2016",1106681.00,9157500.00
"WF0044-160002","1940 Eliquis Field Access 2016","1900000000000002819720","Other Marketing","0044","EUR","01/01/2016","12/31/2016",431397.38,745000.00
"WF0549-160001","2016 CML Tests project","1900000000000002743620","Other Marketing","0549","RON","01/01/2016","12/31/2016",132441.00,679441.00
"WF0150-160028","Support All Russian CML patients Forum","1900000000000002639320","Other Marketing","0150","RUB","01/01/2016","12/31/2016",1106681.00,9157500.00
"W50126-160002","Orencia_congresses_conferences_events","1900000000000002626420","A&P","0126","HUF","01/01/2016","12/31/2016",59673971.48,75489000.00
"WF0150-160030","Support CML pts schools","1900000000000002639320","Other Marketing","0150","RUB","01/01/2016","12/31/2016",1106681.00,9157500.00
"W50150-160128","Comorbidities webinars","1900000000000002638820","A&P","0150","RUB","01/01/2016","12/31/2016",3476847.49,19456017.50
"WF0044-160003","1940 Eliquis Market Access/DAAL 2016","1900000000000002819720","Other Marketing","0044","EUR","01/01/2016","12/31/2016",431397.38,745000.00
"WF0044-160004","1940 Eliquis Government Affairs 2016","1900000000000002819720","Other Marketing","0044","EUR","01/01/2016","12/31/2016",431397.38,745000.00
"W50405-160079","Sales meetings","1900000000000002664820","A&P","0405","DKK","01/01/2016","12/31/2016",1119861.70,2771000.00
"W50126-160003","Orencia_Consulting fee_honoraria","1900000000000002626420","A&P","0126","HUF","01/01/2016","12/31/2016",59673971.48,75489000.00
"W50059-160025","General sponsorships","1900000000000002679820","A&P","0059","EUR","01/01/2016","12/31/2016",52166.64,344184.99
"W50405-160080","Sales Force Meetings","1900000000000002664820","A&P","0405","DKK","01/01/2016","12/31/2016",1119861.70,2771000.00
"WF0150-160031","CIS Oncology congress","1900000000000002640720","Other Marketing","0150","RUB","01/01/2016","12/31/2016",5374724.36,16460000.00
"WF0150-160032","Pharmacoeconomic conference","1900000000000002640720","Other Marketing","0150","RUB","01/01/2016","12/31/2016",5374724.36,16460000.00
"WF0150-160033","Strategic concilium","1900000000000002640720","Other Marketing","0150","RUB","01/01/2016","12/31/2016",5374724.36,16460000.00
"WF0150-160034","Regional RTs","1900000000000002640720","Other Marketing","0150","RUB","01/01/2016","12/31/2016",5374724.36,16460000.00
"W50035-160019","Training Village (launch meeting)","1900000000000002756320","A&P","0035","CAD","01/01/2016","12/31/2016",223412.07,1034084.55
"W50405-160081","Speakers Fee","1900000000000002664820","A&P","0405","DKK","01/01/2016","12/31/2016",1119861.70,2771000.00
"W50405-160082","Heart & Brain Conference","1900000000000002664820","A&P","0405","DKK","01/01/2016","12/31/2016",1119861.70,2771000.00
"WF0150-160035","Advertising module","1900000000000002640720","Other Marketing","0150","RUB","01/01/2016","12/31/2016",5374724.36,16460000.00
"WF0150-160036","Reprints","1900000000000002640720","Other Marketing","0150","RUB","01/01/2016","12/31/2016",5374724.36,16460000.00
"WF0150-160037","Health technology assessment","1900000000000002640720","Other Marketing","0150","RUB","01/01/2016","12/31/2016",5374724.36,16460000.00
"WF0150-160038","Russian Oncology Association support","1900000000000002640720","Other Marketing","0150","RUB","01/01/2016","12/31/2016",5374724.36,16460000.00
"WF0150-160039","Educational Onco RTs","1900000000000002640720","Other Marketing","0150","RUB","01/01/2016","12/31/2016",5374724.36,16460000.00
"WF0150-160040","Support Melanoma pts program","1900000000000002640720","Other Marketing","0150","RUB","01/01/2016","12/31/2016",5374724.36,16460000.00
